Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
35,35059,Mississauga East--Cooksville,96970,3786542000 ,3517767000 ,3387222000 ,,,,,,,,,,,,,,,,,,
35,35060,Mississauga--Erin Mills,95220,4384013000 ,4020032000 ,3924704000 ,,,,,,,,,,,,,,,,,,
35,35061,Mississauga--Lakeshore,92760,5999216000 ,5518957000 ,5378788000 ,,,,,,,,,,,,,,,,,,
35,35062,Mississauga--Malton,94060,3441699000 ,3206790000 ,3096883000 ,,,,,,,,,,,,,,,,,,
35,35063,Mississauga--Streetsville,93070,4576443000 ,4210936000 ,4117155000 ,,,,,,,,,,,,,,,,,,
35,35064,Nepean,94390,5308963000 ,4785782000 ,4698972000 ,,,,,,,,,,,,,,,,,,
35,35065,Newmarket--Aurora,93820,5186553000 ,4739688000 ,4637596000 ,,,,,,,,,,,,,,,,,,
35,35066,Niagara Centre,88840,3499195000 ,3232217000 ,3090937000 ,,,,,,,,,,,,,,,,,,
35,35067,Niagara Falls,109640,4604981000 ,4232885000 ,4053123000 ,,,,,,,,,,,,,,,,,,
35,35068,Niagara West,70660,3768463000 ,3443080000 ,3370927000 ,,,,,,,,,,,,,,,,,,
35,35069,Nickel Belt,74990,3644903000 ,3361078000 ,3255459000 ,,,,,,,,,,,,,,,,,,
35,35070,Nipissing--Timiskaming,73980,3209444000 ,2952432000 ,2821705000 ,,,,,,,,,,,,,,,,,,
35,35071,Northumberland--Peterborough South,86820,4099479000 ,3744782000 ,3642817000 ,,,,,,,,,,,,,,,,,,
35,35072,Oakville,95150,8167093000 ,7524598000 ,7328947000 ,,,,,,,,,,,,,,,,,,
35,35073,Oakville North--Burlington,93630,6297244000 ,5741751000 ,5643662000 ,,,,,,,,,,,,,,,,,,
35,35074,Oshawa,99070,4095372000 ,3780128000 ,3638744000 ,,,,,,,,,,,,,,,,,,
35,35075,Ottawa Centre,88970,5917522000 ,5358857000 ,5206015000 ,,,,,,,,,,,,,,,,,,
35,35076,Orléans,99370,5739412000 ,5136841000 ,5053022000 ,,,,,,,,,,,,,,,,,,
35,35077,Ottawa South,92060,4562934000 ,4140742000 ,3995620000 ,,,,,,,,,,,,,,,,,,
35,35078,Ottawa--Vanier,84560,4381557000 ,3993309000 ,3817275000 ,,,,,,,,,,,,,,,,,,
35,35079,Ottawa West--Nepean,85720,4298841000 ,3909267000 ,3788321000 ,,,,,,,,,,,,,,,,,,
35,35080,Oxford,95190,4303639000 ,3995505000 ,3843303000 ,,,,,,,,,,,,,,,,,,
35,35081,Parkdale--High Park,80050,4897000000 ,4509613000 ,4357787000 ,,,,,,,,,,,,,,,,,,
35,35082,Parry Sound--Muskoka,75290,3188826000 ,2931175000 ,2823390000 ,,,,,,,,,,,,,,,,,,
35,35083,Perth--Wellington,85380,3814375000 ,3548634000 ,3406137000 ,,,,,,,,,,,,,,,,,,
35,35084,Peterborough--Kawartha,93290,4060957000 ,3717388000 ,3576729000 ,,,,,,,,,,,,,,,,,,
35,35085,Pickering--Uxbridge,87990,4749822000 ,4323924000 ,4237341000 ,,,,,,,,,,,,,,,,,,
